"id","sequence","name","auto_apply","vat_required","country_id","country_group_id","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id"
"ie_fp_domestic","1","Domestic","1","1","base.ie","","","","",""
"ie_fp_eu_private","2","EU private","1","","","base.europe","","","",""
"ie_fp_eu","3","Intra-community (EU)","1","1","","base.europe","ie_tax_sale_goods_23","ie_tax_sale_goods_eu_0","",""
"","","","","","","","ie_tax_sale_services_23","ie_tax_sale_services_eu_0","",""
"","","","","","","","ie_tax_sale_goods_13_5","ie_tax_sale_goods_eu_0","",""
"","","","","","","","ie_tax_sale_services_13_5","ie_tax_sale_services_eu_0","",""
"","","","","","","","ie_tax_sale_goods_9","ie_tax_sale_goods_eu_0","",""
"","","","","","","","ie_tax_sale_services_9","ie_tax_sale_services_eu_0","",""
"","","","","","","","ie_tax_sale_ls_4_8","ie_tax_sale_goods_eu_0","",""
"","","","","","","","ie_tax_sale_goods_0","ie_tax_sale_goods_eu_0","",""
"","","","","","","","ie_tax_sale_services_0","ie_tax_sale_services_eu_0","",""
"","","","","","","","ie_tax_sale_goods_exempt","ie_tax_sale_goods_eu_0","",""
"","","","","","","","ie_tax_sale_services_exempt","ie_tax_sale_services_eu_0","",""
"","","","","","","","ie_tax_purchase_goods_23","ie_tax_purchase_goods_eu_23","",""
"","","","","","","","ie_tax_purchase_services_23","ie_tax_purchase_services_eu_23","",""
"","","","","","","","ie_tax_purchase_goods_13_5","ie_tax_purchase_goods_eu_13_5","",""
"","","","","","","","ie_tax_purchase_services_13_5","ie_tax_purchase_services_eu_13_5","",""
"","","","","","","","ie_tax_purchase_goods_9","ie_tax_purchase_goods_eu_9","",""
"","","","","","","","ie_tax_purchase_services_9","ie_tax_purchase_services_eu_9","",""
"","","","","","","","ie_tax_purchase_goods_0","ie_tax_purchase_eu_goods_0","",""
"","","","","","","","ie_tax_purchase_services_0","ie_tax_purchase_eu_services_0","",""
"","","","","","","","ie_tax_purchase_goods_exempt","ie_tax_purchase_eu_goods_0","",""
"","","","","","","","ie_tax_purchase_services_exempt","ie_tax_purchase_eu_services_0","",""
"ie_fp_ex","4","Import/Export (EX)","1","","","","ie_tax_sale_goods_23","ie_tax_sale_ex_goods_0","",""
"","","","","","","","ie_tax_sale_services_23","ie_tax_sale_ex_services_0","",""
"","","","","","","","ie_tax_sale_goods_13_5","ie_tax_sale_ex_goods_0","",""
"","","","","","","","ie_tax_sale_services_13_5","ie_tax_sale_ex_services_0","",""
"","","","","","","","ie_tax_sale_goods_9","ie_tax_sale_ex_goods_0","",""
"","","","","","","","ie_tax_sale_services_9","ie_tax_sale_ex_services_0","",""
"","","","","","","","ie_tax_sale_ls_4_8","ie_tax_sale_ex_goods_0","",""
"","","","","","","","ie_tax_sale_goods_0","ie_tax_sale_ex_goods_0","",""
"","","","","","","","ie_tax_sale_services_0","ie_tax_sale_ex_services_0","",""
"","","","","","","","ie_tax_sale_goods_exempt","ie_tax_sale_ex_goods_0","",""
"","","","","","","","ie_tax_sale_services_exempt","ie_tax_sale_ex_services_0","",""
"","","","","","","","ie_tax_purchase_goods_23","ie_tax_purchase_goods_ex_23","",""
"","","","","","","","ie_tax_purchase_services_23","ie_tax_purchase_services_ex_23","",""
"","","","","","","","ie_tax_purchase_goods_13_5","ie_tax_purchase_goods_ex_13_5","",""
"","","","","","","","ie_tax_purchase_services_13_5","ie_tax_purchase_services_ex_13_5","",""
"","","","","","","","ie_tax_purchase_goods_9","ie_tax_purchase_goods_ex_9","",""
"","","","","","","","ie_tax_purchase_services_9","ie_tax_purchase_services_ex_9","",""
"","","","","","","","ie_tax_purchase_goods_0","ie_tax_purchase_ex_goods_0","",""
"","","","","","","","ie_tax_purchase_services_0","ie_tax_purchase_ex_services_0","",""
"","","","","","","","ie_tax_purchase_goods_exempt","ie_tax_purchase_ex_goods_0","",""
"","","","","","","","ie_tax_purchase_services_exempt","ie_tax_purchase_ex_services_0","",""
