"id","name","description","active","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","description@fr","name@fr"
"tva_sale_18","18%","","True","","18.0","percent","sale","tax_group_18","base","invoice","+TG_7","","","",""
"","","","","","","","","","tax","invoice","+TG_13","pcg_4431","","",""
"","","","","","","","","","base","refund","-TG_7","","","",""
"","","","","","","","","","tax","refund","-TG_13","pcg_4431","","",""
"tva_sale_18_pm","18% PM","18% Public Markets","False","","18.0","percent","sale","tax_group_18","base","invoice","+TG_8","","","18% Marchés publics",""
"","","","","","","","","","tax","invoice","+TG_14","pcg_4431","","",""
"","","","","","","","","","base","refund","-TG_8","","","",""
"","","","","","","","","","tax","refund","-TG_14","pcg_4431","","",""
"tva_sale_18_sd","18% SD","18% Self Delivery","False","","18.0","percent","sale","tax_group_18","base","invoice","+TG_9","","","18% Livraison à soi-meme","18 LASM"
"","","","","","","","","","tax","invoice","+TG_15","pcg_4431","","",""
"","","","","","","","","","base","refund","-TG_9","","","",""
"","","","","","","","","","tax","refund","-TG_15","pcg_4431","","",""
"tva_purchase_good_18","18%","18% goods and services except assets","True","","18.0","percent","purchase","tax_group_18","base","invoice","+TG_18_Base","","","18% Produits et services sauf assets",""
"","","","","","","","","","tax","invoice","+TG_18","pcg_4452","","",""
"","","","","","","","","","base","refund","-TG_18_Base","","","",""
"","","","","","","","","","tax","refund","-TG_18","pcg_4452","","",""
"tva_purchase_assets_18","18% Asset","18% assets","True","","18.0","percent","purchase","tax_group_18","base","invoice","+TG_19_base","","","18% immobilisations","18% Immo"
"","","","","","","","","","tax","invoice","+TG_19","pcg_4451","","",""
"","","","","","","","","","base","refund","-TG_19_base","","","",""
"","","","","","","","","","tax","refund","-TG_19","pcg_4451","","",""
"tva_export_0","0% EX","0% (export)","True","","0.0","","sale","tax_group_0","base","invoice","+TG_10","","","0% (exportation)",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","-TG_10","","","",""
"","","","","","","","","","tax","refund","","","","",""
"tva_export_exempt_0","0% EX Exempt","0% (export of exempted product)","True","","0.0","","sale","tax_group_0","base","invoice","+TG_5","","","0% (exportation de produits exonéré)",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","-TG_5","","","",""
"","","","","","","","","","tax","refund","","","","",""
"tva_import_0","0% EX","0% (import)","True","","0.0","","purchase","tax_group_0","base","invoice","","","","0% (importation)",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
"tva_non_imposable_0","0% NT","0% (non taxable)","False","","0.0","","sale","tax_group_0","base","invoice","+TG_4","","","0% (non taxable)",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","-TG_4","","","",""
"","","","","","","","","","tax","refund","","","","",""
"tva_exempt_0","0%","0% (exempt)","True","","0.0","","sale","tax_group_0","base","invoice","+TG_3","","","0% (exonéré)",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","-TG_3","","","",""
"","","","","","","","","","tax","refund","","","","",""
"tva_purchase_exempt_0","0%","0% (exempt)","True","","0.0","","purchase","tax_group_0","base","invoice","","","","0% (exonéré)",""
"","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","tax","refund","","","","",""
